File Name 	 Maths Operator Count (Approx)
W:/blois_soft_vob/Software/P_L/p_l_injection/src/p_l_inj_count_reset.c 	 0
src/hwi/hwi_core/src/hwi_vsep_fault.c 	 0
W:/blois_soft_vob/Software/P_L/p_l_injection/src/p_l_inj_launch_pulse2.c 	 0
src/hwi/hwi_autosar/src/Pwm_Lcfg.c 	 0
W:/blois_soft_vob/Software/Appli/ste/src/STE_Boost_Offset_Tst_Cntrl.c 	 0
W:/blois_soft_vob/Software/P_L/p_l_pwm_output/src/p_l_pwm_output_imv_driver.c 	 0
W:/blois_soft_vob/Software/P_L/p_l_analogue/src/p_l_fuel_temp_calc.c 	 0
W:/blois_soft_vob/Software/Appli/fqd/src/fqd.c 	 0
W:/blois_soft_vob/Software/P_L/p_l_injection/src/p_l_inj_count_cycle.c 	 0
src/p_l/p_l_aps/src/p_l_aps_sub.c 	 0
W:/blois_soft_vob/Software/Appli/acm/src/acm_thrtl_enable_cond_calc.c 	 0
W:/blois_soft_vob/Software/P_L/p_l_digital_output/src/p_l_digital_output_sub.c 	 0
W:/blois_soft_vob/Software/P_L/p_l_com/p_l_ckl/p_l_ckl_kws/src/p_l_ckl_kws_sub.c 	 0
src/hwi/hwi_autosar/src/Mcal_Irq.c 	 0
src/p_l/p_l_aps/src/p_l_aps_enable_validation.c 	 0
src/autogen/src/dti.c 	 0
W:/blois_soft_vob/Software/P_L/p_l_analogue/src/p_l_ignition_switch_sub.c 	 0
W:/blois_soft_vob/Software/P_L/p_l_nvm/src/p_l_nvm_signal_write_end.c 	 0
W:/blois_soft_vob/Software/Appli/icv/src/ICV_Amf_Deter_Flt_State.c 	 0
W:/blois_soft_vob/Software/Appli/i_c/_i_c/src/i_c_calc_mdp_ton_correction.c 	 0
src/hwi/hwi_core/src/hwi.c 	 0
W:/blois_soft_vob/Software/Appli/rpd/src/rpd.c 	 0
W:/blois_soft_vob/Software/P_L/p_l_c2i_encoding/src/p_l_c2i_ram_check.c 	 0
W:/blois_soft_vob/Software/S_S/s_s_fault_manager/src/F_M_Monitor_Obd_Env_Cond.c 	 0
W:/blois_soft_vob/Software/Appli/acm/src/ACM_Egr_Air_Temp_Calc.c 	 0
W:/blois_soft_vob/Software/P_L/p_l_com/p_l_cds/src/p_l_cds_obd_int.c 	 0
W:/blois_soft_vob/Software/P_L/p_l_event_input/src/p_l_vss_sub.c 	 0
src/hwi/hwi_core/src/hwi_nvm.c 	 0
W:/blois_soft_vob/Software/Appli/icv/src/ICV_Deter_Clutch_State.c 	 0
W:/blois_soft_vob/Software/Appli/icv/src/icv.c 	 0
W:/blois_soft_vob/Software/P_L/p_l_com/p_l_cc/p_l_cc_diag/src/p_l_cc_diag_sources_status.c 	 0
W:/blois_soft_vob/Software/P_L/p_l_com/p_l_cc/p_l_cc_diag/src/p_l_cc_diag_source2index.c 	 0
W:/blois_soft_vob/Software/P_L/p_l_injection/src/p_l_inj_pulse1_cancel_rvd.c 	 0
src/hwi/hwi_autosar/src/Spi_Lcfg.c 	 0
W:/blois_soft_vob/Software/Appli/smc/src/smc_system_mode_demand.c 	 0
src/hwi/hwi_autosar/src/Usic_Irq.c 	 0
src/p_l/p_l_aps/src/p_l_aps_crank_process.c 	 0
W:/blois_soft_vob/Software/P_L/p_l_injection/src/p_l_inj_hard_lock_mon.c 	 0
src/hwi/hwi_autosar/src/Port_Lcfg.c 	 0
W:/blois_soft_vob/Software/Appli/i_c/_i_c/src/I_C_Hw_Driver_Ton_Calc.c 	 0
src/hwi/hwi_autosar/src/Det.c 	 0
W:/blois_soft_vob/Software/P_L/p_l_com/p_l_cc/p_l_cc_diag/src/p_l_cc_diag_receive_diag_on.c 	 0
W:/blois_soft_vob/Software/Appli/t_d/src/t_d.c 	 0
W:/blois_soft_vob/Software/P_L/p_l_injection/src/p_l_inj_pulse2_cancel_rvd.c 	 0
W:/blois_soft_vob/Software/Appli/icv/src/ICV_Key_Position_Deter.c 	 0
src/appli/_Appli/src/app.c 	 0
W:/blois_soft_vob/Software/Appli/acm/src/acm.c 	 0
W:/blois_soft_vob/Software/P_L/p_l_injection/src/p_l_inj_start_new_inj_cycle.c 	 0
W:/blois_soft_vob/Software/P_L/p_l_com/p_l_ckl/_p_l_ckl/src/p_l_ckl.c 	 0
W:/blois_soft_vob/Software/P_L/p_l_injection/src/p_l_inj_launch_pulse4.c 	 0
src/p_l/p_l_aps/src/p_l_aps_arbitration.c 	 0
src/p_l/p_l_aps/src/p_l_aps_gained_sync.c 	 0
W:/blois_soft_vob/Software/_Software/src/pack_id.c 	 0
W:/blois_soft_vob/Software/P_L/p_l_injection/src/p_l_inj_launch_pulse1.c 	 0
W:/blois_soft_vob/Software/S_S/s_s_fault_manager/src/f_m.c 	 0
W:/blois_soft_vob/Software/Appli/etc/src/etc.c 	 0
W:/blois_soft_vob/Software/P_L/p_l_injection/src/p_l_inj_launch_pulse3.c 	 0
W:/blois_soft_vob/Software/P_L/p_l_analogue/src/p_l_boost_pres_calc_sub.c 	 0
W:/blois_soft_vob/Software/Appli/i_c/_i_c/src/i_c.c 	 0
W:/blois_soft_vob/Software/Appli/itd/src/itd.c 	 0
W:/blois_soft_vob/Software/Appli/ste/src/ste.c 	 0
W:/blois_soft_vob/Software/P_L/p_l_digital_output/src/p_l_dig_outp_diag_cond_chk.c 	 0
src/appli/i_c/i_c_spc/src/i_c_spc_sub.c 	 0
W:/blois_soft_vob/Software/S_S/s_s_fault_manager/src/F_M_Monitor_Driving_Cycle.c 	 0
W:/blois_soft_vob/Software/S_S/s_s_fault_manager/src/F_M_Reset_DC_On_Key_On.c 	 0
W:/blois_soft_vob/Software/Appli/c_c/src/c_c.c 	 0
W:/blois_soft_vob/Software/Appli/ste/src/ste_railp_tst_cntrl.c 	 0
W:/blois_soft_vob/Software/P_L/p_l_injection/src/p_l_inj_pulse4_cancel_rvd.c 	 0
src/hwi/hwi_autosar/src/Adc_Lcfg.c 	 0
W:/blois_soft_vob/Software/Appli/ici/src/ici.c 	 0
W:/blois_soft_vob/Software/Appli/smc/src/smc.c 	 0
W:/blois_soft_vob/Software/P_L/p_l_com/p_l_cc/p_l_cc_diag/src/p_l_cc_diag_initialise_device.c 	 0
W:/blois_soft_vob/Software/Appli/rpc/src/rpc_bkg_reset_sync_calc.c 	 0
W:/blois_soft_vob/Software/Appli/itd/src/ITD_Calc_Nrm_Pilo1_Bk2_Dmnd.c 	 0
W:/blois_soft_vob/Software/Appli/ici/src/ici_lamp_flasher_control.c 	 0
W:/blois_soft_vob/Software/P_L/p_l_pwm_output/src/p_l_pwm_output_hpv_driver.c 	 0
W:/blois_soft_vob/Software/Appli/acm/src/ACM_Thrtl_Diagnose.c 	 0
src/hwi/hwi_autosar/src/Mcu_Lcfg.c 	 0
W:/blois_soft_vob/Software/P_L/p_l_injection/src/p_l_inj_pulse3_cancel_rvd.c 	 0
W:/blois_soft_vob/Software/Appli/icv/src/ICV_Foot_Off_Supervisor.c 	 0
W:/blois_soft_vob/Software/Appli/itd/src/ITD_Calc_Ext_Main_Dmnd.c 	 0
W:/blois_soft_vob/Software/P_L/p_l_nvm/src/p_l_nvm_data.c 	 0
W:/blois_soft_vob/Software/S_S/s_s_fault_manager/src/F_M_Reset_DC.c 	 0
W:/blois_soft_vob/Software/Appli/smc/src/smc_control_system_mode.c 	 0
W:/blois_soft_vob/Software/P_L/p_l_injection/src/p_l_inj_adtrig_ptooth_req.c 	 1
W:/blois_soft_vob/Software/P_L/p_l_com/p_l_cc/_p_l_cc/src/p_l_cc_sub.c 	 1
W:/blois_soft_vob/Software/P_L/p_l_com/p_l_cc/p_l_cc_diag/src/p_l_cc_diag_receive_diag_off.c 	 1
W:/blois_soft_vob/Software/P_L/p_l_com/_p_l_com/src/p_l_com_chk_boot_jump_cond.c 	 1
W:/blois_soft_vob/Software/Appli/acm/src/ACM_Egr_Torque_Select.c 	 1
W:/blois_soft_vob/Software/Appli/fqd/src/FQD_Calc_Nrm_Aftr_Fl_St_Cor.c 	 1
W:/blois_soft_vob/Software/P_L/p_l_amf/src/P_L_Amf_Sub.c 	 1
W:/blois_soft_vob/Software/Appli/acm/src/ACM_Vgt_Torque_Select.c 	 1
W:/blois_soft_vob/Software/Appli/itd/src/ITD_Calc_After_Start_Corr.c 	 1
W:/blois_soft_vob/Software/P_L/p_l_digital_input/src/P_L_Ac_Ctrl_Input_State.c 	 1
W:/blois_soft_vob/Software/P_L/p_l_digital_input/src/P_L_Brk_Light_Sw_State.c 	 1
W:/blois_soft_vob/Software/P_L/p_l_event_input/src/p_l_vss_loss_detection.c 	 1
W:/blois_soft_vob/Software/Appli/rpc/src/RPC_Rvd_Async_Cntrl.c 	 1
W:/blois_soft_vob/Software/Appli/t_d/src/t_d_sub_cyl_bal_torque_calc.c 	 1
W:/blois_soft_vob/Software/P_L/p_l_com/p_l_cds/src/p_l_cds_vc_fault_detect.c 	 1
W:/blois_soft_vob/Software/S_S/s_s_fault_manager/src/F_M_Det_Obd_Cls_St_On_DC_End.c 	 1
W:/blois_soft_vob/Software/P_L/p_l_injection/src/p_l_inj_adtrig_pfilt_req.c 	 1
W:/blois_soft_vob/Software/Appli/smc/src/smc_management.c 	 1
W:/blois_soft_vob/Software/P_L/p_l_com/p_l_cc/p_l_cc_dcan/src/p_l_cc_dcan_sub.c 	 1
W:/blois_soft_vob/Software/P_L/p_l_com/p_l_ckl/p_l_ckl_kws/src/p_l_ckl_kws_transmit.c 	 1
W:/blois_soft_vob/Software/P_L/p_l_com/p_l_ckl/p_l_ckl_kws/src/p_l_ckl_kws_start_com.c 	 1
src/p_l/p_l_aps/src/p_l_aps_cam_store.c 	 1
W:/blois_soft_vob/Software/Appli/icv/src/ICV_Oil_Temp_Select.c 	 1
W:/blois_soft_vob/Software/P_L/p_l_com/p_l_cc/p_l_cc_diag/src/p_l_cc_diag_bus_off.c 	 2
W:/blois_soft_vob/Software/P_L/p_l_com/p_l_cds/src/p_l_cds_sa.c 	 2
W:/blois_soft_vob/Software/Appli/sac/src/sac_background_task.c 	 2
src/hwi/hwi_autosar/src/Os.c 	 2
W:/blois_soft_vob/Software/P_L/p_l_com/p_l_cds/src/p_l_cds_sub.c 	 2
W:/blois_soft_vob/Software/P_L/p_l_analogue/src/p_l_boost_temp_t2_calc.c 	 2
W:/blois_soft_vob/Software/Appli/ici/src/ici_wif_lamp_control.c 	 2
src/hwi/hwi_core/src/hwi_api_macros.c 	 2
W:/blois_soft_vob/Software/Appli/itd/src/ITD_Calc_Nrm_Pilo2_Bk2_Dmnd.c 	 2
W:/blois_soft_vob/Software/Appli/ici/src/ici_ce_lamp_control.c 	 2
W:/blois_soft_vob/Software/Appli/fqd/src/FQD_Calc_Nrm_Pilo2_Bk2_Dmnd.c 	 2
W:/blois_soft_vob/Software/P_L/p_l_com/p_l_cc/p_l_cc_diag/src/p_l_cc_diag_dec_m_busoff.c 	 2
W:/blois_soft_vob/Software/P_L/p_l_com/p_l_cc/p_l_cc_diag/src/p_l_cc_diag_bus_off_indicated.c 	 2
src/p_l/p_l_aps/src/p_l_aps_no_sync_spd_calc.c 	 2
src/hwi/hwi_core/src/hwi_scheduler.c 	 2
W:/blois_soft_vob/Software/P_L/p_l_digital_input/src/P_L_Clutch_Sw_Bot_State.c 	 2
src/hwi/hwi_autosar/src/Mcal.c 	 2
W:/blois_soft_vob/Software/Appli/icv/src/icv_monitor_warm_up_cycle.c 	 2
src/p_l/p_l_aps/src/p_l_aps_stall_handler.c 	 2
W:/blois_soft_vob/Software/P_L/p_l_analogue/src/P_L_Railp_Tdc_Meas.c 	 2
W:/blois_soft_vob/Software/P_L/p_l_inlet_air_temp/src/P_L_Inlet_Air_Temp_Sub.c 	 2
W:/blois_soft_vob/Software/Appli/icv/src/ICV_Air_Temp_Selection_Calc.c 	 2
